	sentid	item	sentence	word	word_pos	logfreq	length	model	prob	surp
0	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	The	0	15.687451186819413	3	distilbert/distilgpt2	1.0	0.0
1	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	The	0	15.687451186819413	3	gpt2	1.0	0.0
2	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	girl	1	9.440419814291506	4	distilbert/distilgpt2	1.2958112165506463e-06	19.55771255493164
3	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	girl	1	9.440419814291506	4	gpt2	0.0001694072852842	12.527215957641602
4	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	fed	2	8.437067146936952	3	distilbert/distilgpt2	5.163487730897032e-05	14.241294860839844
5	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	fed	2	8.437067146936952	3	gpt2	2.4521710656699724e-05	15.315580368041992
6	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	the	3	15.687451186819413	3	distilbert/distilgpt2	0.110306479036808	3.180410385131836
7	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	the	3	15.687451186819413	3	gpt2	0.1789187341928482	2.48262357711792
8	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	lamb	4	7.324489979348532	4	distilbert/distilgpt2	0.0011011700844392	9.826746940612791
9	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	lamb	4	7.324489979348532	4	gpt2	0.0007958552450872	10.295206069946287
10	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	remained	5	8.742893471512136	8	distilbert/distilgpt2	2.0974962353648152e-06	18.86289978027344
11	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	remained	5	8.742893471512136	8	gpt2	1.3441082955978343e-05	16.18299102783203
12	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	relatively	6	9.09929707318286	10	distilbert/distilgpt2	0.0004333175893407	11.172286987304688
13	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	relatively	6	9.09929707318286	10	gpt2	0.000628302397672	10.636253356933594
14	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	calm	7	8.166216268592143	4	distilbert/distilgpt2	0.0245383642613887	5.348816871643066
15	critical1	1	The girl fed the lamb remained relatively calm desipte asking for chicken.	calm	7	8.166216268592143	4	gpt2	0.0675590634346008	3.887706756591797
